dist_to_snake,dist_to_ladder,snakes_within_6,ladders_within_6,position_pct,won
8,1,0,1,79.0,1
4,12,1,0,83.0,1
2,12,1,0,85.0,1
5,12,1,0,88.0,1
2,12,2,0,91.0,1
2,12,2,0,93.0,1
3,12,1,0,95.0,1
2,12,1,0,96.0,1
12,12,0,0,100.0,1
12,5,0,1,4.0,0
2,7,1,0,14.0,0
12,3,0,1,18.0,0
12,5,0,1,23.0,0
12,7,0,0,29.0,0
12,4,0,1,32.0,0
12,3,0,1,33.0,0
10,12,0,0,37.0,0
4,8,2,0,43.0,0
1,3,1,1,48.0,0
4,12,1,0,52.0,0
6,12,1,0,56.0,0
3,12,1,0,53.0,0
4,12,2,0,58.0,0
2,11,2,0,60.0,0
12,7,0,0,64.0,0
2,11,2,0,60.0,0
2,9,1,0,62.0,0
1,8,1,0,63.0,0
12,2,0,1,69.0,0
12,1,0,1,70.0,0
12,5,0,1,75.0,0
8,1,0,1,79.0,0
2,12,1,0,85.0,0
4,12,2,0,89.0,0
1,12,3,0,92.0,0
1,12,2,0,94.0,0
1,12,1,0,97.0,0
12,12,0,0,98.0,0
9,2,0,1,7.0,1
6,11,1,0,10.0,1
2,7,1,0,14.0,1
1,6,1,1,15.0,1
12,5,0,1,16.0,1
10,3,0,1,6.0,1
7,12,0,0,9.0,1
12,5,0,1,31.0,1
12,2,0,1,34.0,1
12,1,0,1,35.0,1
11,12,0,0,36.0,1
3,7,2,0,44.0,1
1,3,1,1,48.0,1
5,12,1,0,51.0,1
12,4,0,1,67.0,1
12,2,0,1,69.0,1
12,7,0,0,73.0,1
8,1,0,1,79.0,1
3,12,1,0,84.0,1
2,12,1,0,85.0,1
4,12,2,0,89.0,1
2,12,2,0,91.0,1
3,12,1,0,95.0,1
12,5,0,1,75.0,1
9,2,0,1,78.0,1
3,12,1,0,84.0,1
6,12,1,0,87.0,1
5,12,1,0,88.0,1
1,12,3,0,92.0,1
12,12,0,0,98.0,1
12,12,0,0,100.0,1
10,3,0,1,6.0,0
7,12,0,0,9.0,0
12,5,0,1,31.0,0
12,3,0,1,33.0,0
9,12,0,0,38.0,0
7,11,0,0,40.0,0
4,8,2,0,43.0,0
3,7,2,0,44.0,0
2,6,2,1,45.0,0
1,5,2,1,46.0,0
5,12,1,0,51.0,0
12,4,0,1,67.0,0
12,7,0,0,73.0,0
11,4,0,1,76.0,0
10,3,0,1,77.0,0
4,12,1,0,83.0,0
1,12,1,0,86.0,0
6,12,1,0,87.0,0
12,4,0,1,24.0,0
12,8,0,0,28.0,0
3,12,1,0,84.0,0
6,12,1,0,87.0,0
12,4,0,1,24.0,0
12,1,0,1,27.0,0
12,5,0,1,31.0,0
12,1,0,1,35.0,0
6,10,1,0,41.0,0
4,8,2,0,43.0,0
2,6,2,1,45.0,0
1,3,1,1,48.0,0
9,2,0,1,7.0,1
3,8,1,0,13.0,1
12,5,0,1,16.0,1
12,6,0,1,22.0,1
12,1,0,1,27.0,1
12,6,0,1,30.0,1
12,5,0,1,31.0,1
12,4,0,1,32.0,1
11,12,0,0,36.0,1
3,7,2,0,44.0,1
2,6,2,1,45.0,1
5,12,1,0,51.0,1
12,4,0,1,67.0,1
12,3,0,1,68.0,1
12,1,0,1,70.0,1
12,5,0,1,75.0,1
11,4,0,1,76.0,1
9,2,0,1,78.0,1
3,12,1,0,84.0,1
6,12,1,0,87.0,1
1,12,3,0,92.0,1
1,12,2,0,94.0,1
1,12,1,0,97.0,1
12,12,0,0,100.0,1
10,3,0,1,6.0,0
4,9,1,0,12.0,0
12,3,0,1,18.0,0
12,4,0,1,24.0,0
12,3,0,1,25.0,0
12,5,0,1,31.0,0
12,3,0,1,33.0,0
9,12,0,0,38.0,0
6,10,1,0,41.0,0
2,6,2,1,45.0,0
6,1,1,1,50.0,0
1,12,1,0,55.0,0
3,12,2,0,59.0,0
12,7,0,0,64.0,0
2,11,2,0,60.0,0
2,9,1,0,62.0,0
12,2,0,1,19.0,0
12,1,0,1,20.0,0
12,5,0,1,23.0,0
12,3,0,1,25.0,0
12,1,0,1,27.0,0
12,6,0,1,30.0,0
12,1,0,1,35.0,0
9,12,0,0,38.0,0
10,3,0,1,6.0,1
7,12,0,0,9.0,1
12,5,0,1,31.0,1
11,12,0,0,36.0,1
3,7,2,0,44.0,1
2,6,2,1,45.0,1
2,4,1,1,47.0,1
5,12,1,0,51.0,1
12,4,0,1,67.0,1
12,7,0,0,73.0,1
12,6,0,1,74.0,1
7,12,0,0,80.0,1
12,12,0,0,100.0,1
12,2,0,1,2.0,0
9,12,0,0,38.0,0
8,12,0,0,39.0,0
2,6,2,1,45.0,0
7,2,0,1,49.0,0
3,12,1,0,53.0,0
2,12,1,0,54.0,0
4,12,2,0,58.0,0
2,9,1,0,62.0,0
12,2,0,1,19.0,0
11,4,0,1,5.0,0
7,12,0,0,9.0,0
12,5,0,1,31.0,0
12,3,0,1,33.0,0
9,12,0,0,38.0,0
8,12,0,0,39.0,0
2,6,2,1,45.0,0
5,12,1,0,51.0,0
12,4,0,1,67.0,0
12,8,0,0,72.0,0
12,6,0,1,74.0,0
10,3,0,1,77.0,0
5,12,1,0,82.0,0
1,12,1,0,86.0,0
5,12,1,0,88.0,0
12,5,0,1,4.0,1
2,7,1,0,14.0,1
1,6,1,1,15.0,1
12,7,0,0,21.0,1
5,9,1,0,42.0,1
1,3,1,1,48.0,1
6,1,1,1,50.0,1
2,12,1,0,54.0,1
4,12,2,0,58.0,1
1,8,1,0,63.0,1
12,5,0,1,66.0,1
12,2,0,1,69.0,1
12,7,0,0,73.0,1
9,2,0,1,78.0,1
7,12,0,0,80.0,1
12,12,0,0,100.0,1
11,4,0,1,5.0,0
7,12,0,0,9.0,0
12,5,0,1,31.0,0
12,3,0,1,33.0,0
12,2,0,1,34.0,0
7,11,0,0,40.0,0
4,8,2,0,43.0,0
7,2,0,1,49.0,0
3,12,1,0,53.0,0
1,12,1,0,55.0,0
1,10,2,0,61.0,0
12,7,0,0,64.0,0
12,3,0,1,68.0,0
12,8,0,0,72.0,0
12,6,0,1,74.0,0
9,2,0,1,78.0,0
6,12,1,0,81.0,0
6,12,1,0,87.0,0
12,4,0,1,24.0,0
12,8,0,0,28.0,0
3,12,1,0,84.0,0
2,12,1,0,85.0,0
2,12,2,0,91.0,0
2,12,2,0,93.0,0
12,7,0,0,73.0,0
11,4,0,1,76.0,0
9,2,0,1,78.0,0
8,1,0,1,79.0,0
5,12,1,0,82.0,0
6,12,1,0,87.0,0
12,4,0,1,24.0,0
12,1,0,1,27.0,0
12,3,0,1,33.0,0
10,12,0,0,37.0,0
4,8,2,0,43.0,0
2,6,2,1,45.0,0
2,4,1,1,47.0,0
12,2,0,1,26.0,0
12,7,0,0,29.0,0
12,4,0,1,32.0,0
9,2,0,1,7.0,1
3,8,1,0,13.0,1
12,5,0,1,16.0,1
10,3,0,1,6.0,1
9,2,0,1,7.0,1
5,10,1,0,11.0,1
1,6,1,1,15.0,1
12,7,0,0,21.0,1
5,9,1,0,42.0,1
3,7,2,0,44.0,1
2,6,2,1,45.0,1
1,3,1,1,48.0,1
5,12,1,0,51.0,1
12,4,0,1,67.0,1
12,2,0,1,69.0,1
12,7,0,0,73.0,1
11,4,0,1,76.0,1
5,12,1,0,82.0,1
5,12,1,0,88.0,1
3,12,2,0,90.0,1
2,12,2,0,93.0,1
12,7,0,0,73.0,1
8,1,0,1,79.0,1
3,12,1,0,84.0,1
1,12,1,0,86.0,1
1,12,3,0,92.0,1
12,12,0,0,98.0,1
9,2,0,1,78.0,1
8,1,0,1,79.0,1
6,12,1,0,81.0,1
3,12,1,0,84.0,1
6,12,1,0,87.0,1
2,12,2,0,91.0,1
1,12,3,0,92.0,1
12,12,0,0,98.0,1
12,12,0,0,99.0,1
12,12,0,0,100.0,1
10,3,0,1,6.0,1
4,9,1,0,12.0,1
12,5,0,1,16.0,1
12,2,0,1,19.0,1
12,6,0,1,22.0,1
12,4,0,1,24.0,1
12,6,0,1,30.0,1
12,4,0,1,32.0,1
12,2,0,1,34.0,1
8,12,0,0,39.0,1
7,11,0,0,40.0,1
5,9,1,0,42.0,1
1,5,2,1,46.0,1
5,12,1,0,51.0,1
12,4,0,1,67.0,1
12,3,0,1,68.0,1
12,6,0,1,74.0,1
7,12,0,0,80.0,1
12,12,0,0,100.0,1
9,2,0,1,7.0,0
3,8,1,0,13.0,0
12,4,0,1,17.0,0
12,2,0,1,19.0,0
12,3,0,1,25.0,0
12,2,0,1,26.0,0
12,1,0,1,27.0,0
12,8,0,0,28.0,0
3,12,1,0,84.0,0
6,12,1,0,87.0,0
12,4,0,1,24.0,0
12,2,0,1,26.0,0
12,1,0,1,27.0,0
12,7,0,0,29.0,0
12,1,0,1,35.0,0
8,12,0,0,39.0,0
2,6,2,1,45.0,0
7,2,0,1,49.0,0
12,5,0,1,4.0,1
2,7,1,0,14.0,1
12,2,0,1,19.0,1
12,4,0,1,24.0,1
12,6,0,1,30.0,1
12,2,0,1,34.0,1
9,12,0,0,38.0,1
6,10,1,0,41.0,1
5,9,1,0,42.0,1
3,7,2,0,44.0,1
2,6,2,1,45.0,1
1,5,2,1,46.0,1
1,3,1,1,48.0,1
5,12,1,0,51.0,1
12,4,0,1,67.0,1
12,8,0,0,72.0,1
9,2,0,1,78.0,1
6,12,1,0,81.0,1
2,12,1,0,85.0,1
3,12,2,0,90.0,1
2,12,2,0,93.0,1
12,7,0,0,73.0,1
12,6,0,1,74.0,1
9,2,0,1,78.0,1
7,12,0,0,80.0,1
12,12,0,0,100.0,1
12,2,0,1,2.0,0
9,12,0,0,38.0,0
5,9,1,0,42.0,0
2,4,1,1,47.0,0
12,2,0,1,26.0,0
12,4,0,1,32.0,0
12,1,0,1,35.0,0
9,12,0,0,38.0,0
3,7,2,0,44.0,0
6,1,1,1,50.0,0
1,12,1,0,55.0,0
3,12,2,0,59.0,0
12,7,0,0,64.0,0
2,11,2,0,60.0,0
2,9,1,0,62.0,0
12,2,0,1,19.0,0
12,4,0,1,24.0,0
12,3,0,1,25.0,0
12,8,0,0,28.0,0
3,12,1,0,84.0,0
1,12,1,0,86.0,0
1,12,3,0,92.0,0
2,12,1,0,96.0,0
1,12,1,0,97.0,0
12,12,0,0,98.0,0
9,2,0,1,78.0,0
5,12,1,0,82.0,0
12,2,0,1,2.0,1
9,12,0,0,38.0,1
4,8,2,0,43.0,1
1,3,1,1,48.0,1
5,12,1,0,51.0,1
12,4,0,1,67.0,1
12,2,0,1,69.0,1
12,8,0,0,72.0,1
12,7,0,0,73.0,1
10,3,0,1,77.0,1
6,12,1,0,81.0,1
5,12,1,0,82.0,1
2,12,1,0,85.0,1
1,12,1,0,86.0,1
1,12,3,0,92.0,1
1,12,2,0,94.0,1
12,12,0,0,100.0,1
9,2,0,1,7.0,0
8,1,0,1,8.0,0
6,11,1,0,10.0,0
2,7,1,0,14.0,0
12,5,0,1,16.0,0
10,3,0,1,6.0,0
4,9,1,0,12.0,0
12,5,0,1,16.0,0
10,3,0,1,6.0,0
9,2,0,1,7.0,0
6,11,1,0,10.0,0
2,7,1,0,14.0,0
12,4,0,1,17.0,0
12,2,0,1,19.0,0
12,7,0,0,21.0,0
5,9,1,0,42.0,0
1,3,1,1,48.0,0
10,3,0,1,6.0,0
7,12,0,0,9.0,0
12,5,0,1,31.0,0
12,4,0,1,32.0,0
12,3,0,1,33.0,0
12,2,0,1,34.0,0
9,12,0,0,38.0,0
4,8,2,0,43.0,0
3,7,2,0,44.0,0
6,1,1,1,50.0,0
1,12,1,0,55.0,0
1,10,2,0,61.0,0
2,9,1,0,62.0,0
12,4,0,1,67.0,0
12,7,0,0,73.0,0
9,2,0,1,7.0,1
3,8,1,0,13.0,1
12,5,0,1,16.0,1
12,4,0,1,17.0,1
12,6,0,1,22.0,1
12,8,0,0,28.0,1
3,12,1,0,84.0,1
5,12,1,0,88.0,1
2,12,2,0,91.0,1
3,12,1,0,95.0,1
12,5,0,1,75.0,1
9,2,0,1,78.0,1
3,12,1,0,84.0,1
3,12,2,0,90.0,1
3,12,1,0,95.0,1
12,12,0,0,100.0,1
12,5,0,1,4.0,0
2,7,1,0,14.0,0
12,1,0,1,20.0,0
12,2,0,1,26.0,0
12,8,0,0,28.0,0
3,12,1,0,84.0,0
1,12,1,0,86.0,0
1,12,3,0,92.0,0
2,12,1,0,96.0,0
12,12,0,0,98.0,0
12,5,0,1,4.0,1
2,7,1,0,14.0,1
12,1,0,1,20.0,1
12,3,0,1,25.0,1
12,8,0,0,28.0,1
3,12,1,0,84.0,1
4,12,2,0,89.0,1
1,12,3,0,92.0,1
1,12,1,0,97.0,1
12,12,0,0,100.0,1
9,2,0,1,7.0,1
3,8,1,0,13.0,1
12,4,0,1,17.0,1
12,7,0,0,21.0,1
5,9,1,0,42.0,1
3,7,2,0,44.0,1
6,1,1,1,50.0,1
4,12,1,0,52.0,1
2,12,1,0,54.0,1
4,12,2,0,58.0,1
1,10,2,0,61.0,1
1,8,1,0,63.0,1
12,2,0,1,69.0,1
12,9,0,0,71.0,1
2,12,2,0,91.0,1
1,12,3,0,92.0,1
12,12,0,0,98.0,1
12,12,0,0,99.0,1
12,12,0,0,100.0,1
11,4,0,1,5.0,0
8,1,0,1,8.0,0
3,8,1,0,13.0,0
1,6,1,1,15.0,0
12,5,0,1,16.0,0
12,4,0,1,17.0,0
12,2,0,1,19.0,0
12,6,0,1,22.0,0
12,2,0,1,26.0,0
12,4,0,1,32.0,0
9,12,0,0,38.0,0
8,12,0,0,39.0,0
3,7,2,0,44.0,0
2,6,2,1,45.0,0
6,1,1,1,50.0,0
4,12,1,0,52.0,0
3,12,1,0,53.0,0
3,12,2,0,59.0,0
12,7,0,0,64.0,0
2,11,2,0,60.0,0
12,7,0,0,64.0,0
12,4,0,1,67.0,0
12,7,0,0,73.0,0
9,2,0,1,7.0,1
7,12,0,0,9.0,1
12,5,0,1,31.0,1
12,1,0,1,35.0,1
8,12,0,0,39.0,1
5,9,1,0,42.0,1
3,7,2,0,44.0,1
2,6,2,1,45.0,1
1,3,1,1,48.0,1
5,12,1,0,51.0,1
12,4,0,1,67.0,1
12,2,0,1,69.0,1
12,5,0,1,75.0,1
9,2,0,1,78.0,1
8,1,0,1,79.0,1
2,12,1,0,85.0,1
2,12,2,0,91.0,1
1,12,2,0,94.0,1
12,12,0,0,98.0,1
12,12,0,0,99.0,1
12,12,0,0,100.0,1
12,5,0,1,4.0,0
2,7,1,0,14.0,0
12,3,0,1,18.0,0
12,2,0,1,19.0,0
12,7,0,0,21.0,0
5,9,1,0,42.0,0
2,4,1,1,47.0,0
12,2,0,1,26.0,0
12,1,0,1,27.0,0
12,5,0,1,31.0,0
12,1,0,1,35.0,0
6,10,1,0,41.0,0
3,7,2,0,44.0,0
7,2,0,1,49.0,0
5,10,1,0,11.0,0
12,5,0,1,16.0,0
12,2,0,1,19.0,0
12,7,0,0,21.0,0
5,9,1,0,42.0,0
3,7,2,0,44.0,0
2,6,2,1,45.0,0
1,5,2,1,46.0,0
7,2,0,1,49.0,0
5,10,1,0,11.0,0
1,6,1,1,15.0,0
12,5,0,1,4.0,1
2,7,1,0,14.0,1
12,3,0,1,18.0,1
12,6,0,1,22.0,1
12,5,0,1,23.0,1
12,7,0,0,29.0,1
12,2,0,1,34.0,1
9,12,0,0,38.0,1
7,11,0,0,40.0,1
1,5,2,1,46.0,1
1,3,1,1,48.0,1
2,12,1,0,54.0,1
4,12,2,0,58.0,1
1,10,2,0,61.0,1
12,7,0,0,64.0,1
12,2,0,1,69.0,1
12,6,0,1,74.0,1
10,3,0,1,77.0,1
7,12,0,0,80.0,1
12,12,0,0,100.0,1
12,1,0,2,3.0,0
12,5,0,1,4.0,0
2,7,1,0,14.0,0
12,4,0,1,17.0,0
12,1,0,1,20.0,0
12,6,0,1,22.0,0
12,4,0,1,24.0,0
12,7,0,0,29.0,0
12,6,0,1,30.0,0
12,2,0,1,34.0,0
7,11,0,0,40.0,0
1,5,2,1,46.0,0
2,4,1,1,47.0,0
6,1,1,1,50.0,0
6,12,1,0,56.0,0
3,12,1,0,53.0,0
1,12,1,0,55.0,0
1,10,2,0,61.0,0
2,9,1,0,62.0,0
12,2,0,1,19.0,0
11,4,0,1,5.0,0
8,1,0,1,8.0,0
2,7,1,0,14.0,0
12,3,0,1,18.0,0
12,7,0,0,21.0,0
5,9,1,0,42.0,0
2,4,1,1,47.0,0
7,2,0,1,49.0,0
4,12,1,0,52.0,0
6,12,1,0,56.0,0
3,12,1,0,53.0,0
5,12,1,0,57.0,0
2,9,1,0,62.0,0
12,2,0,1,19.0,0
12,3,0,1,25.0,0
11,4,0,1,5.0,1
8,1,0,1,8.0,1
7,12,0,0,9.0,1
12,5,0,1,31.0,1
12,2,0,1,34.0,1
10,12,0,0,37.0,1
6,10,1,0,41.0,1
2,6,2,1,45.0,1
5,12,1,0,51.0,1
12,4,0,1,67.0,1
12,9,0,0,71.0,1
2,12,2,0,91.0,1
3,12,1,0,95.0,1
12,12,0,0,99.0,1
12,12,0,0,100.0,1
12,2,0,1,2.0,0
9,12,0,0,38.0,0
5,9,1,0,42.0,0
2,6,2,1,45.0,0
1,3,1,1,48.0,0
6,1,1,1,50.0,0
4,12,1,0,52.0,0
2,12,1,0,54.0,0
3,12,2,0,59.0,0
2,9,1,0,62.0,0
12,2,0,1,19.0,0
12,4,0,1,24.0,0
12,8,0,0,28.0,0
3,12,1,0,84.0,0
4,12,2,0,89.0,0
3,12,2,0,90.0,0
3,12,1,0,95.0,0
12,5,0,1,75.0,0
11,4,0,1,76.0,0
6,12,1,0,81.0,0
4,12,1,0,83.0,0
1,12,1,0,86.0,0
1,12,3,0,92.0,0
3,12,1,0,95.0,0
12,12,0,0,98.0,0
9,2,0,1,78.0,0
6,12,1,0,81.0,0
2,12,1,0,85.0,0
6,12,1,0,87.0,0
12,4,0,1,24.0,0
12,1,0,1,27.0,0
12,4,0,1,32.0,0
10,12,0,0,37.0,0
8,12,0,0,39.0,0
2,6,2,1,45.0,0
7,2,0,1,49.0,0
5,10,1,0,11.0,0
4,9,1,0,12.0,0
3,8,1,0,13.0,0
12,4,0,1,17.0,0
12,1,0,1,20.0,0
12,3,0,1,25.0,0
12,1,0,1,27.0,0
12,3,0,1,33.0,0
12,1,0,1,35.0,0
7,11,0,0,40.0,0
5,9,1,0,42.0,0
1,5,2,1,46.0,0
5,12,1,0,51.0,0
12,4,0,1,67.0,0
12,7,0,0,73.0,0
11,4,0,1,76.0,0
9,2,0,1,78.0,0
12,5,0,1,4.0,1
2,7,1,0,14.0,1
12,2,0,1,19.0,1
12,5,0,1,23.0,1
12,7,0,0,29.0,1
12,2,0,1,34.0,1
9,12,0,0,38.0,1
5,9,1,0,42.0,1
2,4,1,1,47.0,1
12,2,0,1,26.0,1
12,5,0,1,31.0,1
12,4,0,1,32.0,1
9,12,0,0,38.0,1
4,8,2,0,43.0,1
1,3,1,1,48.0,1
3,12,1,0,53.0,1
6,12,1,0,56.0,1
3,12,1,0,53.0,1
3,12,2,0,59.0,1
2,9,1,0,62.0,1
12,5,0,1,66.0,1
12,8,0,0,72.0,1
12,5,0,1,75.0,1
6,12,1,0,81.0,1
6,12,1,0,87.0,1
12,4,0,1,24.0,1
12,1,0,1,27.0,1
12,6,0,1,30.0,1
12,4,0,1,32.0,1
12,3,0,1,33.0,1
8,12,0,0,39.0,1
5,9,1,0,42.0,1
2,4,1,1,47.0,1
12,2,0,1,26.0,1
12,7,0,0,29.0,1
12,2,0,1,34.0,1
12,1,0,1,35.0,1
9,12,0,0,38.0,1
8,12,0,0,39.0,1
6,10,1,0,41.0,1
2,6,2,1,45.0,1
1,3,1,1,48.0,1
4,12,1,0,52.0,1
4,12,2,0,58.0,1
2,11,2,0,60.0,1
1,8,1,0,63.0,1
12,5,0,1,66.0,1
12,1,0,1,70.0,1
11,4,0,1,76.0,1
7,12,0,0,80.0,1
12,12,0,0,100.0,1
10,3,0,1,6.0,0
8,1,0,1,8.0,0
7,12,0,0,9.0,0
12,5,0,1,31.0,0
11,12,0,0,36.0,0
3,7,2,0,44.0,0
2,4,1,1,47.0,0
1,3,1,1,48.0,0
3,12,1,0,53.0,0
6,12,1,0,56.0,0
5,12,1,0,57.0,0
4,12,2,0,58.0,0
2,11,2,0,60.0,0
1,8,1,0,63.0,0
12,2,0,1,69.0,0
12,7,0,0,73.0,0
12,6,0,1,74.0,0
9,2,0,1,78.0,0
3,12,1,0,84.0,0
2,12,1,0,85.0,0
2,12,2,0,91.0,0
3,12,1,0,95.0,0
12,5,0,1,75.0,0
10,3,0,1,77.0,0
4,12,1,0,83.0,0
4,12,2,0,89.0,0
3,12,1,0,95.0,0
12,5,0,1,75.0,0
11,4,0,1,76.0,0
8,1,0,1,79.0,0
6,12,1,0,81.0,0
2,12,1,0,85.0,0
3,12,2,0,90.0,0
2,12,2,0,91.0,0
1,12,3,0,92.0,0
11,4,0,1,5.0,1
6,11,1,0,10.0,1
12,5,0,1,16.0,1
10,3,0,1,6.0,1
5,10,1,0,11.0,1
3,8,1,0,13.0,1
12,4,0,1,17.0,1
12,3,0,1,18.0,1
12,2,0,1,19.0,1
12,1,0,1,20.0,1
12,4,0,1,24.0,1
12,6,0,1,30.0,1
12,2,0,1,34.0,1
10,12,0,0,37.0,1
8,12,0,0,39.0,1
2,6,2,1,45.0,1
1,3,1,1,48.0,1
4,12,1,0,52.0,1
3,12,1,0,53.0,1
1,12,1,0,55.0,1
5,12,1,0,57.0,1
1,8,1,0,63.0,1
12,5,0,1,66.0,1
12,2,0,1,69.0,1
12,5,0,1,75.0,1
6,12,1,0,81.0,1
2,12,1,0,85.0,1
5,12,1,0,88.0,1
1,12,3,0,92.0,1
1,12,2,0,94.0,1
3,12,1,0,95.0,1
12,5,0,1,75.0,1
7,12,0,0,80.0,1
12,12,0,0,100.0,1
12,1,0,2,3.0,0
11,4,0,1,5.0,0
9,2,0,1,7.0,0
7,12,0,0,9.0,0
12,5,0,1,31.0,0
12,3,0,1,33.0,0
8,12,0,0,39.0,0
7,11,0,0,40.0,0
4,8,2,0,43.0,0
2,6,2,1,45.0,0
6,1,1,1,50.0,0
1,12,1,0,55.0,0
1,10,2,0,61.0,0
12,6,0,1,65.0,0
12,1,0,1,70.0,0
12,9,0,0,71.0,0
2,12,2,0,91.0,0
1,12,3,0,92.0,0
9,2,0,1,7.0,1
6,11,1,0,10.0,1
5,10,1,0,11.0,1
12,4,0,1,17.0,1
12,1,0,1,20.0,1
12,3,0,1,25.0,1
12,7,0,0,29.0,1
12,6,0,1,30.0,1
12,1,0,1,35.0,1
10,12,0,0,37.0,1
5,9,1,0,42.0,1
1,3,1,1,48.0,1
5,12,1,0,51.0,1
12,4,0,1,67.0,1
12,7,0,0,73.0,1
12,6,0,1,74.0,1
7,12,0,0,80.0,1
12,12,0,0,100.0,1
12,1,0,2,3.0,0
